סטטוס סביבת עבודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סביבת עבודה,משתמש,חבר מאז,יחידה ארגונית,MINHAL_MANAGER_NAME,COST_CENTER_NAME,BUSINESS_LINE_DSC_HEB,סיווג,מיקום,אזור התכנסות,קהל,תאריך פתיחה,תאריך סגירה,מנהל קבוצה,בעלי קבוצה,מינימום משתמשים,מקסימום משתמשים,פתיחת הרשמה,סגירת הרשמה,ציון עובר,סטטוס סביבת עבודה,מזהה חיצוני,LBP,מיקום הקורס,מספר חשבונית,מרצה,מרצה חיצוני ?,מרצה פנימי,מרצה פנימי ?,משך הקורס,משך הקורס בשעות,סוג הקורס,סוג התקציב,ספק,עלות,עלות למשתתף בשקלים,עלות קורס כוללת,קהל יעד,קורס/שריון תקציב,רכזת אחראית על הקורס,שייך ליחידת הלמידה,תאריך סיום קורס,תאריך תחילת קורס,תקציב רוחב 35%,התקדמות במשימות,ציון משימות ממוצע,נוכחות במפגשים,סטטוס השלמה,תאריך השלמה,תאריך פעילות אחרונה,ציון
סדנת מנהיגות (ספק חיצוני) — ינואר 2026,יעל רוזן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20010,נטע אשכנזי,מרכז למידה נתניה,,פרופ׳ יונתן הראל,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"מכון להדרכה בע""מ",השתתפות כרוכה בתשלום,1200,24000,כלל העובדים,קורס,חן רוקח,כן,07/01/2026,05/01/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
סדנת מנהיגות (ספק חיצוני) — ינואר 2026,ניר חמו,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20011,נטע אשכנזי,מרכז למידה נתניה,,פרופ׳ יונתן הראל,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"מכון להדרכה בע""מ",השתתפות כרוכה בתשלום,1200,24000,כלל העובדים,קורס,חן רוקח,כן,07/01/2026,05/01/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
סדנת מנהיגות (ספק חיצוני) — ינואר 2026,הדס פלד,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20012,נטע אשכנזי,מרכז למידה נתניה,,פרופ׳ יונתן הראל,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"מכון להדרכה בע""מ",השתתפות כרוכה בתשלום,1200,24000,כלל העובדים,קורס,חן רוקח,כן,07/01/2026,05/01/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
וובינר חדשנות טכנולוגית — 2026,איתי גל,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20013,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,דנה כהן,כן,01/06/2026,10/06/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
וובינר חדשנות טכנולוגית — 2026,רותם סלע,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20014,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,דנה כהן,כן,01/06/2026,10/06/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
הטמעת מערכת LMS — פנימי,עדי מור,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20015,נטע אשכנזי,מרכז למידה נתניה,8890,רו״ח שני ברק,V,משה עומר,V,3 מפגשים,12,סינכרוני,,קבוצת ההדרכה,השתתפות כרוכה בתשלום,,,כלל העובדים,קורס,חן רוקח,כן,31/03/2026,01/03/2026,לא,,,4/4 (100%),כן,05/04/2026 10:00,05/04/2026,100
הטמעת מערכת LMS — פנימי,אבי לוי,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20016,נטע אשכנזי,מרכז למידה נתניה,8890,רו״ח שני ברק,V,משה עומר,V,3 מפגשים,12,סינכרוני,,קבוצת ההדרכה,השתתפות כרוכה בתשלום,,,כלל העובדים,קורס,חן רוקח,כן,31/03/2026,01/03/2026,לא,,,4/4 (100%),כן,05/04/2026 10:00,05/04/2026,100
הטמעת מערכת LMS — פנימי,דנה כהן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20017,נטע אשכנזי,מרכז למידה נתניה,8890,רו״ח שני ברק,V,משה עומר,V,3 מפגשים,12,סינכרוני,,קבוצת ההדרכה,השתתפות כרוכה בתשלום,,,כלל העובדים,קורס,חן רוקח,כן,31/03/2026,01/03/2026,לא,,,3/4 (75%),לא,,05/04/2026,80
קורס אונליין — יסודות הסייבר,גיל מזרחי,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,150,הסתיים,20018,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,אסינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,מינה סיטון,כן,31/03/2026,01/03/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,95
קורס אונליין — יסודות הסייבר,נועה ברק,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,150,הסתיים,20019,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,אסינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,מינה סיטון,כן,31/03/2026,01/03/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,88
יום עיון מקצועי — הנדסת מערכת,רון אלון,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20020,,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,,קורס,שירה ארמה,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
יום עיון מקצועי — הנדסת מערכת,מיה שגב,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20021,,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,,קורס,שירה ארמה,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
יום עיון מקצועי — הנדסת מערכת,טל אבידן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20022,,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,,קורס,שירה ארמה,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
תוכנית פיתוח מנהלים — מחזור ב׳,שירה נבו,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20023,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,רוני סומך,כן,31/03/2026,01/03/2026,לא,,,4/5 (80%),כן,05/04/2026 10:00,05/04/2026,90
תוכנית פיתוח מנהלים — מחזור ב׳,עומר קפלן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20024,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,רוני סומך,כן,31/03/2026,01/03/2026,לא,,,4/5 (80%),כן,05/04/2026 10:00,05/04/2026,88
תוכנית פיתוח מנהלים — מחזור ב׳,ליאור דגן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20025,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,רוני סומך,כן,31/03/2026,01/03/2026,לא,,,5/5 (100%),כן,05/04/2026 10:00,05/04/2026,92
תוכנית פיתוח מנהלים — מחזור ב׳,יעל רוזן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20026,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,רוני סומך,כן,31/03/2026,01/03/2026,לא,,,5/5 (100%),לא,,05/04/2026,95
כנס שנתי מקצועי (בתשלום) — 2026,ניר חמו,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20027,נטע אשכנזי,מרכז למידה נתניה,7712,ד״ר קרן אלמוג,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"בית ספר למקצועות בע""מ",השתתפות כרוכה בתשלום,800,16000,כלל העובדים,קורס,עינב לואיס,כן,04/02/2026,02/02/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
כנס שנתי מקצועי (בתשלום) — 2026,הדס פלד,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20028,נטע אשכנזי,מרכז למידה נתניה,7712,ד״ר קרן אלמוג,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"בית ספר למקצועות בע""מ",השתתפות כרוכה בתשלום,800,16000,כלל העובדים,קורס,עינב לואיס,כן,04/02/2026,02/02/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
כנס שנתי מקצועי (בתשלום) — 2026,איתי גל,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20029,נטע אשכנזי,מרכז למידה נתניה,7712,ד״ר קרן אלמוג,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"בית ספר למקצועות בע""מ",השתתפות כרוכה בתשלום,800,16000,כלל העובדים,קורס,עינב לואיס,כן,04/02/2026,02/02/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
כנס שנתי מקצועי (בתשלום) — 2026,רותם סלע,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20030,נטע אשכנזי,מרכז למידה נתניה,7712,ד״ר קרן אלמוג,V,,,3 מפגשים,12,סינכרוני,תקציב למידה ESL,"בית ספר למקצועות בע""מ",השתתפות כרוכה בתשלום,800,16000,כלל העובדים,קורס,עינב לואיס,כן,04/02/2026,02/02/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
מודול e-learning — רגולציה (יולי 2026),עדי מור,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20031,נטע אשכנזי,מרכז למידה נתניה,,עו״ד גלית שחר,V,,,3 מפגשים,12,אסינכרוני,תקציב למידה ESL,"רגטק בע""מ",השתתפות כרוכה בתשלום,300,6000,כלל העובדים,קורס,שני קורש,כן,15/07/2026,10/07/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
מודול e-learning — רגולציה (יולי 2026),אבי לוי,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20032,נטע אשכנזי,מרכז למידה נתניה,,עו״ד גלית שחר,V,,,3 מפגשים,12,אסינכרוני,תקציב למידה ESL,"רגטק בע""מ",השתתפות כרוכה בתשלום,300,6000,כלל העובדים,קורס,שני קורש,כן,15/07/2026,10/07/2026,לא,,,1/1 (100%),כן,05/04/2026 10:00,05/04/2026,100
